route,comparison_group,baseline_avg_fare,baseline_avg_distance,baseline_distance_2,baseline_num_carriers,baseline_hhi,baseline_hub_route,baseline_n_legacy_carriers,baseline_legacy_carrier_share,baseline_n_lcc_carriers,baseline_avg_delay,baseline_delay_15_rate,baseline_cancellation_rate,baseline_avg_scheduled_flights,baseline_avg_seat_capacity,baseline_load_factor,baseline_route_size
10821-10423,Control (Never-Treated Routes),233.80715969989274,1342,1342,1,10000,1,0,0,1,15.694522131065728,28.29061440373354,0.5388614927514299,201,29933,87.68583169077606,26247
10821-10529,Control (Never-Treated Routes),145.58624309392266,283,283,1,10000,1,0,0,1,17.076763552147746,36.13911011902617,1.1648395835182532,635,92003,73.01392345901763,67175
10821-10599,Control (Never-Treated Routes),195.7349074074074,682,682,1,10000,1,0,0,1,19.28082405120521,38.28261216635058,1.3080922619821993,258,36660,70.31369339879978,25777
10821-10693,Control (Never-Treated Routes),195.5286658725431,587,587,1,10000,1,0,0,1,18.768117425739277,32.843217088845186,1.1048992286004866,527,76387,75.70529016717504,57829
10821-10721,Control (Never-Treated Routes),113.40032204318334,369,369,2,6049.771824369432,1,0,0,2,12.951763918892281,24.45906143497757,1.425779452840122,898,125214,79.77302857507946,99887
10821-10792,Control (Never-Treated Routes),133.78988135593218,281,281,1,10000,1,0,0,1,14.991659124589209,26.12237009094877,1.2714622253521626,543,78286,69.85156988478144,54684
10821-10994,Control (Never-Treated Routes),155.91847299813782,472,472,1,10000,1,0,0,1,17.05841955570723,39.292589820766025,0.5388614927514299,273,38825,80.77012234385062,31359
10821-11057,Control (Never-Treated Routes),148.09245828327036,361,361,2,7159.552096969299,1,1,82.85994595985589,1,9.728356365160497,17.727384523585826,1.0580722923360615,958,148951,83.48517297634793,124352
10821-11066,Control (Never-Treated Routes),147.5214642857143,337,337,1,10000,1,0,0,1,18.167848621451174,29.8563153109621,1.0290575711828025,406,57634,64.78467571225318,37338
10821-11193,Control (Never-Treated Routes),235.2516,430,430,1,10000,1,0,0,0,8.067657866416125,11.681353018352748,3.480037963339665,198,9898,78.92503536067893,7812
10821-11267,Control (Never-Treated Routes),144.43345679012347,406,406,1,10000,1,0,0,1,12.499126424077591,22.861080068457866,2.469363423253361,254,29718,65.83215559593512,19564
10821-11298,Control (Never-Treated Routes),247.42400000000006,1217,1217,1,10000,1,1,100,0,11.823939296120223,18.758295926423116,4.304551869320468,461,65243,86.79858375611177,56630
10821-11433,Control (Never-Treated Routes),153.73396422889527,409,409,2,5376.025698478643,1,1,63.71177775634224,1,9.75059701528016,17.6920562407762,0.670613798416779,758,110443,75.09393986038046,82936
10821-11481,Control (Never-Treated Routes),185.6394523809524,798,798,1,10000,1,0,0,1,13.385625438060169,25.934746683511122,0.5388614927514299,102,14522,75.82288940917229,11011
10821-11618,Control (Never-Treated Routes),220.22547619047617,169,169,1,10000,1,0,0,0,28.47329512131809,36.05446764882032,2.7447438456926068,133,6650,82.73684210526315,5502
10821-11697,Control (Never-Treated Routes),147.28839277908628,925,925,2,5000.934629577076,1,0,0,2,15.251411093656435,26.50692517663595,1.421863700256949,899,116671,87.57874707510864,102179
